"Loomis, John B., González-Cabán and Gregory, Robin. (1996). ""A contingent valuation study of the value of reducing fire hazards to old-growth forests in the Pacific Northwest,"" USAD Forest Service Research Paper PSW-RP-229-Web.",,,,
Downloaded from https://www.fs.usda.gov/treesearch/pubs/28584 on 17 April 2020. Data as reported in Appendix B.,,,,
BidAmount,NumYes_v1,NumNo_v1,NumYes_v2,NumNo_v2
2,3,2,8,1
5,6,2,7,1
8,4,1,5,4
10,5,1,8,2
12,6,4,7,1
15,10,0,4,1
20,6,1,3,2
25,0,1,2,1
30,3,1,5,0
35,3,2,6,0
40,4,2,2,0
50,3,2,4,2
60,4,6,4,5
70,1,10,2,5
80,2,3,2,5
90,3,3,4,3
120,3,0,3,4
150,1,6,3,4
200,2,2,1,7
300,0,8,0,6
,260,,,